iter	Passed	Remaining
958	2524	107
959	2527	105
960	2529	102
961	2533	100
962	2535	97
963	2537	94
964	2539	92
965	2542	89
966	2544	86
967	2548	84
968	2550	81
969	2553	78
970	2556	76
971	2559	73
972	2562	71
973	2564	68
974	2566	65
975	2569	63
976	2572	60
977	2575	57
978	2579	55
979	2581	52
980	2584	50
981	2586	47
982	2588	44
983	2590	42
984	2592	39
985	2595	36
986	2597	34
987	2617	31
988	2630	29
989	2650	26
990	2670	24
991	2672	21
992	2688	18
993	2705	16
994	2726	13
995	2737	10
996	2755	8
997	2769	5
998	2792	2
999	2795	0
